Wed Sep 18 14:53:38 2013    larvalMultitrack.profile

         304003 function calls in 58.945 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11313(__init__)
       22    0.000    0.000    0.000    0.000 {callable}
        1    0.000    0.000    0.000    0.000 {wx._misc_.StandardPaths_Get}
        5    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:2729(SetTickFreq)
        4    0.000    0.000    0.005    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6365(GetFont)
        1    0.000    0.000    0.005    0.005 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7984(OnPreInit)
       11    0.000    0.000    0.000    0.000 {wx._core_.BoxSizer_swiginit}
        1    0.000    0.000    0.000    0.000 {wx._core_.MenuBar_Append}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11506(GetId)
        7    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6350(GetColour)
        2    0.000    0.000    0.000    0.000 {wx._core_.CommandEvent_IsChecked}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8014(RedirectStdio)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:378(SetValue)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:2502(GetDirectory)
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp__setCallbackInfo}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11056(Append)
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6355(GetCursor)
        6    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    0.000    0.000 {signal.signal}
        2    0.000    0.000    0.000    0.000 {wx._controls_.ComboBox_swiginit}
