Tue Aug 27 17:31:03 2013    larvalMultitrack.profile

         1487386 function calls (1487370 primitive calls) in 108.905 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7549(_BootstrapApp)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:1729(__init__)
        9    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:379(to_writeable)
        4    0.000    0.000    0.000    0.000 {wx._core_.MenuItem_GetId}
        1    0.000    0.000    0.000    0.000 {wx._windows_.FileDialog_GetFilename}
       18    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:814(<lambda>)
     6250    1.013    0.000    7.400    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:98(DetectObjects)
        8    0.001    0.000    0.002    0.000 {wx._controls_.TextCtrl_WriteText}
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_SetSizer}
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitTheFontList}
       22    0.000    0.000    0.000    0.000 {callable}
        1    0.000    0.000    0.000    0.000 {wx._core_.new_MenuBar}
        1    0.107    0.107    1.706    1.706 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lMulti_IO.py:20(writeMatlab)
        1    0.019    0.019    0.019    0.019 {wx._core_.Window_Show}
        2    0.000    0.000    0.009    0.005 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:329(EvtCheckBox)
    43641    0.704    0.000    0.704    0.000 {numpy.core.multiarray.array}
        5    0.000    0.000    0.009    0.002 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:401(__init__)
        5    0.009    0.002    0.009    0.002 {wx._controls_.new_Slider}
        1    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lMulti_IO.py:8(__init__)
        1    0.000    0.000    1.943    1.943 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:709(ShowModal)
        1    0.006    0.006    0.006    0.006 {cv2.namedWindow}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6609(_wxPyInitThePenList)
   184352    0.440    0.000    2.339    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\fromnumeric.py:1422(sum)
        3    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:9153(Enable)
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6365(GetFont)
       22    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3890(Bind)
      241    0.002    0.000    0.002    0.000 {_codecs.charmap_decode}
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:343(<lambda>)
    29990    0.120    0.000    0.120    0.000 {cv2.boundingRect}
     6250    0.010    0.000    0.010    0.000 {method 'copy' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3992(Bind)
      241    0.001    0.000    0.002    0.000 C:\Python27\lib\encodings\cp1252.py:14(decode)
      792    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {wx._misc_.Timer_swiginit}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:10570(SetSizer)
       11    0.000    0.000    0.000    0.000 {wx._core_.new_BoxSizer}
       22    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8014(RedirectStdio)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8464(Destroy)
        4    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_instance}
        4    0.000    0.000    0.000    0.000 {method 'own' of 'PySwigObject' objects}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7789(__init__)
        1    0.000    0.000    0.000    0.000 {wx._misc_.StandardPaths_Get}
       11    0.000    0.000    0.000    0.000 {wx._core_.BoxSizer_swiginit}
        7    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:129(<lambda>)
        1    0.001    0.001    0.001    0.001 {wx._windows_.new_Frame}
        1    0.000    0.000    0.000    0.000 {wx._core_.MenuBar_swiginit}
        3    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
    18934    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {wx._windows_.Panel_swiginit}
        1    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:421(<dictcomp>)
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11506(GetId)
        1    0.000    0.000  108.905  108.905 larvalMultitrack_main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:758(__init__)
     6253    0.007    0.000    0.007    0.000 {method 'get' of 'cv2.VideoCapture' objects}
   184352    0.285    0.000    1.729    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:16(_sum)
        2    0.000    0.000    0.000    0.000 {wx._misc_.new_Timer}
        1    0.000    0.000    0.019    0.019 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:9133(Show)
    12500    0.036    0.000    0.036    0.000 {wx._controls_.CheckBox_GetValue}
       10    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetBrush}
        1    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:240(OnExit)
        5    0.000    0.000    0.000    0.000 {method 'has_key' of 'dict' objects}
