Wed Sep 18 14:34:32 2013    larvalMultitrack.profile

         285685 function calls in 25.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:2729(SetTickFreq)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6617(_wxPyInitTheColourDatabase)
        1    0.000    0.000    0.000    0.000 {wx._core_.Event_Skip}
        4    0.000    0.000    0.000    0.000 {wx._controls_.Button_swiginit}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11051(__init__)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12904(AddSpacer)
        7    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetColour}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6340(instance)
        4    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_instance}
       11    0.000    0.000    0.000    0.000 {wx._core_.BoxSizer_swiginit}
        1    0.000    0.000    0.000    0.000 {wx._core_.MenuBar_Append}
        7    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6350(GetColour)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8014(RedirectStdio)
        2    0.000    0.000    0.000    0.000 {wx._core_.CommandEvent_IsChecked}
        1    0.000    0.000    0.005    0.005 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7984(OnPreInit)
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11056(Append)
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11506(GetId)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7567(IsDisplayAvailable)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8561(GetId)
        4    0.000    0.000    0.005    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6365(GetFont)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:378(SetValue)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:2502(GetDirectory)
        1    0.000    0.000    0.005    0.005 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:13078(Fit)
        1    0.000    0.000    0.001    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:520(SetMenuBar)
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp__setCallbackInfo}
       11    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12685(<lambda>)
        1    0.000    0.000    0.006    0.006 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7549(_BootstrapApp)
        6    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7789(__init__)
        1    0.000    0.000    0.000    0.000 {signal.signal}
        2    0.000    0.000    0.000    0.000 {wx._controls_.ComboBox_swiginit}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:6066(Get)
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitThePenList}
        4    0.000    0.000    0.000    0.000 {wx._core_.MenuItem_GetId}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:10570(SetSizer)
        1    0.000    0.000    0.000    0.000 {wx._windows_.Frame_swiginit}
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1301(_setCallbackInfo)
        2    0.000    0.000    0.000    0.000 {wx._misc_.Timer__setCallbackInfo}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:225(SetOptionInt)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6605(_wxPyInitTheFontList)
        1    0.000    0.000    0.000    0.000 {wx._windows_.FileDialog_GetDirectory}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:10536(SetAutoLayout)
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:456(<lambda>)
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6355(GetCursor)
        2    0.000    0.000    0.000    0.000 {wx._core_.Window_GetId}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:6207(SetInstallPrefix)
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp_SetUseBestVisual}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7182(_setCallbackInfo)
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6334(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7445(SetUseBestVisual)
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitTheFontList}
        1    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lMulti_IO.py:8(__init__)
        4    0.000    0.000    0.000    0.000 {method 'own' of 'PySwigObject' objects}
        2    0.000    0.000    0.000    0.000 {wx._misc_.Timer_swiginit}
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp_swiginit}
        1    0.000    0.000    0.000    0.000 {wx._controls_.TextCtrl_swiginit}
        1    0.000    0.000    0.000    0.000 {wx._windows_.FileDialog_swiginit}
        1    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:423(<dictcomp>)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6613(_wxPyInitTheBrushList)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6609(_wxPyInitThePenList)
        1    0.000    0.000    0.000    0.000 {wx._windows_.Panel_swiginit}
        5    0.000    0.000    0.000    0.000 {method 'has_key' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitTheColourDatabase}
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_SetAutoLayout}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11492(<lambda>)
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:2083(<lambda>)
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6493(<lambda>)
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitTheBrushList}
        3    0
