Tue Aug 27 17:26:03 2013    2to1larvalMultitrack.profile

         6242457 function calls (6242409 primitive calls) in 576.965 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   121880    0.223    0.000    0.484    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\numeric.py:322(asanyarray)
   121201    0.049    0.000    0.049    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:117(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7549(_BootstrapApp)
        1    0.000    0.000    0.001    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:1729(__init__)
       27    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:379(to_writeable)
        4    0.000    0.000    0.000    0.000 {wx._core_.MenuItem_GetId}
        2    0.000    0.000    0.000    0.000 {nt.listdir}
       54    0.001    0.000    0.001    0.000 {method 'seek' of 'file' objects}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:814(<lambda>)
       16    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4390(GetEventObject)
    18750    4.169    0.000   26.314    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:98(DetectObjects)
        2    0.000    0.000    0.016    0.008 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:351(__init__)
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_SetSizer}
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitTheFontList}
       22    0.000    0.000    0.000    0.000 {callable}
        1    0.000    0.000    0.000    0.000 {wx._core_.new_MenuBar}
        3    0.175    0.058    2.296    0.765 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lMulti_IO.py:20(writeMatlab)
        1    0.025    0.025    0.025    0.025 {wx._core_.Window_Show}
       10    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetBrush}
   160387    2.109    0.000    2.109    0.000 {numpy.core.multiarray.array}
        5    0.000    0.000    0.008    0.002 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:401(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lMulti_IO.py:8(__init__)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:2350(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6609(_wxPyInitThePenList)
   889889    2.285    0.000   12.212    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\fromnumeric.py:1422(sum)
        9    0.000    0.000    0.004    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:9153(Enable)
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6365(GetFont)
      655    0.004    0.000    0.004    0.000 {method 'round' of 'numpy.ndarray' objects}
       22    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3890(Bind)
      994    0.007    0.000    0.007    0.000 {_codecs.charmap_decode}
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:343(<lambda>)
   121856    0.512    0.000    0.512    0.000 {cv2.boundingRect}
    18750    0.038    0.000    0.038    0.000 {method 'copy' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3992(Bind)
      994    0.003    0.000    0.010    0.000 C:\Python27\lib\encodings\cp1252.py:14(decode)
        2    0.001    0.000   18.210    9.105 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:281(setupBatch)
     1312    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {wx._misc_.Timer_swiginit}
    18750    4.424    0.000    4.593    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:90(updateTrackData)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:2362(GetPath)
        6    0.000    0.000    0.000    0.000 {wx._misc_.Timer_Start}
       11    0.000    0.000    0.000    0.000 {wx._core_.new_BoxSizer}
       54    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8014(RedirectStdio)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8464(Destroy)
        4    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_instance}
        4    0.000    0.000    0.000    0.000 {method 'own' of 'PySwigObject' objects}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7789(__init__)
       11    0.000    0.000    0.000    0.000 {wx._core_.BoxSizer_swiginit}
        2    0.000    0.000    0.000    0.000 {wx._windows_.DirDialog_swiginit}
        1    0.002    0.002    0.002    0.002 {wx._windows_.new_Frame}
        1    0.000    0.000    0.000    0.000 {wx._core_.MenuBar_swiginit}
        9    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
    56334    0.039    0.000    0.039    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {wx._windows_.Panel_swiginit}
        1    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:421(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp_SetUseBestVisual}
        7    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:129(<lambda>)
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:758(__init__)
    18758    0.021    0.000    0.021    0.000 {method 'get' of 'cv2.VideoCapture' objects}
   889889    1.490    0.000    9.045    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:16(_sum)
        2    0.000    0.000    0.000    0.000 {wx._misc_.new_Timer}
        1    0.000    0.000    0.025    0.025 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:9133(Show)
    37500    0.116    0.000    0.116    0.000 {wx._controls_.CheckBox_GetValue}
        1    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:240(OnExit)
        5    0.000    0.000    0.000    0.000 {method 'has_key' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6360(GetPen)
        1    0.000    0.000    0.000    0.000 {signal.signal}
    18740    0.052    0.000    1.144    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:8(_amax)
        2    0.000    0.000    0.001    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:364(__init__)
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_Close}
    18750   21.725    0.001   35.612    0.002 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:114(TrackObjects)
        1    0.000    0.000    0.000    0.000 {wx._core_.MenuBar_Append}
        1    0.000    0.000    0.000    0.000 {wx._core_.Menu_swiginit}
        4    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetFont}
       66    0.000    0.000    1.185    0.018 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:494(write_element)
        1    0.001    0.001    0.001    0.001 {wx._controls_.new_TextCtrl}
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\genericpath.py:85(_splitext)
      6/3    0.000    0.000    0.007    0.002 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:721(write_struct)
        1    0.000    0.000    0.000    0.000 {wx._misc_.StandardPaths_SetInstallPrefix}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:6207(SetInstallPrefix)
    18750    0.226    0.000   66.811    0.004 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:83(updateTracking)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8023(RestoreStdio)
     27/6    0.000    0.000    1.192    0.199 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:594(write)
        7    0.000    0.000    0.000    0.000 {wx._controls_.CheckBox_swiginit}
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12904(AddSpacer)
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp_swiginit}
     3750    0.011    0.000    0.011    0.000 {method 'normal' of 'mtrand.RandomState' objects}
       16    0.000    0.000    0.001    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:406(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7567(IsDisplayAvailable)
        1    0.000    0.000    0.001    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:520(SetMenuBar)
        1    0.000    0.000    0.000    0.000 {wx._core_.new_Menu}
    18750    2.664    0.000    2.664    0.000 {cv2.threshold}
        1    0.000    0.000  576.965  576.965 larvalMultitrack_main.py:1(<module>)
        5    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:2729(SetTickFreq)
        2    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       37    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12326(<lambda>)
        4    0.000    0.000    0.003    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:73(__init__)
       16    0.000    0.000    0.000    0.000 {wx._controls_.Slider_GetValue}
        1    0.000    0.000    0.000    0.000 {wx._controls_.TextCtrl_swiginit}
    37583    0.026    0.000    0.026    0.000 {len}
    18750    0.060    0.000    0.060    0.000 {method 'copy' of 'numpy.ndarray' objects}
    18750    5.699    0.000    5.699    0.000 {cv2.erode}
